Date : 2023-08-04 10:49:14
Directory : g:\Projects\C_CPP\Clion\NGS\include\NGS
Total : 285 files,  11887 codes, 957 comments, 2961 blanks, all 15805 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        281 |     10,941 |        957 |      2,961 |     14,859 |
| XML      |          4 |        946 |          0 |          0 |        946 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                              |        285 |     11,887 |        957 |      2,961 |     15,805 |
| . (Files)                                                                      |          3 |        442 |         39 |         24 |        505 |
| algorithm                                                                      |          5 |        230 |        122 |         72 |        424 |
| base                                                                           |         42 |      1,518 |        192 |        478 |      2,188 |
| base (Files)                                                                   |         17 |        971 |        100 |        287 |      1,358 |
| base\boost                                                                     |          3 |         26 |          0 |         14 |         40 |
| base\mpl                                                                       |         22 |        521 |         92 |        177 |        790 |
| base\mpl (Files)                                                               |          9 |        210 |         61 |         71 |        342 |
| base\mpl\concepts                                                              |          7 |        125 |         12 |         43 |        180 |
| base\mpl\sequence                                                              |          2 |         22 |          0 |         12 |         34 |
| base\mpl\struct                                                                |          4 |        164 |         19 |         51 |        234 |
| concepts                                                                       |          9 |         54 |          3 |         39 |         96 |
| concepts (Files)                                                               |          6 |         36 |          3 |         24 |         63 |
| concepts\fundamental                                                           |          3 |         18 |          0 |         15 |         33 |
| embedded                                                                       |         13 |        304 |         71 |        124 |        499 |
| embedded (Files)                                                               |          3 |         23 |          0 |         14 |         37 |
| embedded\bus                                                                   |          7 |        209 |         71 |         79 |        359 |
| embedded\bus (Files)                                                           |          2 |         41 |          0 |         18 |         59 |
| embedded\bus\i2c                                                               |          1 |        100 |         71 |         23 |        194 |
| embedded\bus\serial_port                                                       |          1 |         19 |          0 |         10 |         29 |
